"DAY","HOUR24","MINUTE","FRACTIONAL DAY","DATESTRING","ALTITUDE","AZIMUTH"
201,4,45,200.19791666666666666,"Day 201, 04:45am",-18.12992634368884,176.94427735701845
201,5,0,200.20833333333333334,"Day 201, 05:00am",-14.385008938954929,177.000280002416
201,5,15,200.218750000000000006,"Day 201, 05:15am",-10.639930714891767,177.0417953915576
201,5,30,200.229166666666666672,"Day 201, 05:30am",-6.8947410926923105,177.06978318301702
201,5,45,200.23958333333333334,"Day 201, 05:45am",-3.1494852406002547,177.08487659314386
201,6,0,200.25,"Day 201, 06:00am",0.5957942088966783,177.08741758356825
201,6,15,200.260416666666666666,"Day 201, 06:15am",4.34105563938598,177.07747552039015
201,6,30,200.270833333333333332,"Day 201, 06:30am",8.08625701076749,177.05485120928995
201,6,45,200.28125,"Day 201, 06:45am",11.831354392461972,177.01906672719647
201,7,0,200.2916666666666667,"Day 201, 07:00am",15.576300359470933,176.96934005760036
201,7,15,200.302083333333333366,"Day 201, 07:15am",19.321042123569548,176.90454196373508
201,7,30,200.312500000000000032,"Day 201, 07:30am",23.06551923635659,176.82313053392957
201,7,45,200.3229166666666667,"Day 201, 07:45am",26.809660639841862,176.72305603172722
201,8,0,200.3333333333333333,"Day 201, 08:00am",30.553380739885103,176.6016244913067
201,8,15,200.343749999999999966,"Day 201, 08:15am",34.296574013312394,176.45530192555833
201,8,30,200.354166666666666632,"Day 201, 08:30am",38.03910738603643,176.27943031028715
201,8,45,200.3645833333333333,"Day 201, 08:45am",41.78080915356776,176.06780845640924
201,9,0,200.375,"Day 201, 09:00am",45.52145239647865,175.8120593255648
201,9,15,200.385416666666666666,"Day 201, 09:15am",49.26072934994729,175.5006479783265
201,9,30,200.395833333333333332,"Day 201, 09:30am",52.99821034168427,175.11730535357108
201,9,45,200.40625,"Day 201, 09:45am",56.73327521033287,174.63839520334844
201,10,0,200.4166666666666667,"Day 201, 10:00am",60.46499297817498,174.02829921801828
201,10,15,200.427083333333333366,"Day 201, 10:15am",64.1918977815586,173.23084220993888
201,10,30,200.437500000000000032,"Day 201, 10:30am",67.91153967965475,172.15216342836808
201,10,45,200.4479166666666667,"Day 201, 10:45am",71.61949541521594,170.62320638895534
201,11,0,200.4583333333333333,"Day 201, 11:00am",75.30690167590534,168.30705287819904
201,11,15,200.468749999999999966,"Day 201, 11:15am",78.95314787021272,164.42909983743962
201,11,30,200.479166666666666632,"Day 201, 11:30am",82.49796280885894,156.78541703400143
201,11,45,200.4895833333333333,"Day 201, 11:45am",85.68373860654043,136.8274619453162
201,12,0,200.5,"Day 201, 12:00pm",86.98642725981429,78.53575143455124
201,12,15,200.510416666666666666,"Day 201, 12:15pm",84.743097043233,34.24114249979878
201,12,30,200.520833333333333332,"Day 201, 12:30pm",81.38082412289627,20.132619568396766
201,12,45,200.53125,"Day 201, 12:45pm",77.7915241581267,14.126742410202445
201,13,0,200.5416666666666666,"Day 201, 01:00pm",74.1284916369055,10.88476043695734
201,13,15,200.552083333333333266,"Day 201, 01:15pm",70.43310278640794,8.87552725406928
201,13,30,200.562499999999999932,"Day 201, 01:30pm",66.72077235937124,7.517026941719821
201,13,45,200.5729166666666666,"Day 201, 01:45pm",62.99849848224658,6.542668727206761
201,14,0,200.5833333333333334,"Day 201, 02:00pm",59.269905992876765,5.813779360228223
201,14,15,200.593750000000000066,"Day 201, 02:15pm",55.53705790887104,5.251310487090517
201,14,30,200.604166666666666732,"Day 201, 02:30pm",51.80121453437691,4.8069943612778685
201,14,45,200.6145833333333334,"Day 201, 02:45pm",48.06318965777249,4.4497434596480145
201,15,0,200.625,"Day 201, 03:00pm",44.32353282330403,4.158669645660166
201,15,15,200.635416666666666666,"Day 201, 03:15pm",40.582629233666324,3.9192511816393227
201,15,30,200.645833333333333332,"Day 201, 03:30pm",36.840757655837805,3.7211097108643956
201,15,45,200.65625,"Day 201, 03:45pm",33.09812558613498,3.5566613542378076
201,16,0,200.6666666666666666,"Day 201, 04:00pm",29.354891470664782,3.4202667530602833
